,Moises Alou,Rich Aurilia,Jeff Bagwell,Craig Biggio,Barry Bonds,Aaron Boone,Tony Clark,Roger Clemens,Carlos Delgado,Jermaine Dye,Darin Erstad,Cliff Floyd,"Nomar Garcia-parra",Brian Giles,Tom Gordon,Eddie Guardado,Randy Johnson,Jeff Kent,Edgar Martinez,Pedro Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Mike Mussina,Troy Percival,Mike Piazza,Tim Raines,Curt Schilling,Jason Schmidt,Gary Sheffield,Lee Smith,John Smoltz,Sammy Sosa,Alan Trammell,Larry Walker,Known Votes,"Will no longer reveal ballots:Bob Smizik, Patrick Reusse (?), Mike Downey, Gene Collier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Voters who shared ballots, but aren't on BBWAA's list of received/counted ballots: Steve SerbyJohn Lopez",,,,,,,,,,,,,,,,,,,,,,,,,,
% on Public Ballots,,0.00%,60.73%,85.80%,39.27%,0.30%,0.00%,39.27%,2.11%,0.00%,0.00%,0.00%,2.42%,0.00%,0.30%,0.00%,99.09%,13.90%,27.49%,98.19%,6.65%,12.69%,9.37%,0.00%,30.21%,0.30%,75.23%,60.12%,45.62%,0.00%,10.27%,25.08%,87.92%,5.14%,25.08%,8.76%,"4,623.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,310.053,306,454,202,2,0,206,21,0,1,0,30,0,2,0,534,77,148,500,50,71,55,0,135,4,384,302,215,0,64,166,455,36,138,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,310.053,105,170,72,1,0,76,14,0,1,0,22,0,1,0,206,31,57,175,28,29,24,0,35,3,135,103,64,0,30,83,164,19,55,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net +/- Returning Voters Pre-Results,,,+9,+12,,,,,,,,,,,,,,,,,,,,,+16,,+11,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% 1st-Time Voters Pre-Results,,,54.5%,81.8%,54.5%,,,54.5%,,,,,,,,,,,,,,,,,63.6%,,90.9%,72.7%,72.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net +/- Returning Voters Post-Results,,,+4,+5,,,,,,,,,,,,,,,,,,,,,+1,,+4,+6,+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% 1st-Time Voters Post-Results,,,50.0%,100.0%,75.0%,,,75.0%,,,,,,,,,,,,,,,,,50.0%,,100.0%,75.0%,25.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Voted Last Year, No Ballot This Year",,,56.0%,76.0%,,,,,,,,,,,,,,,,,,,,,36.0%,,56.0%,58.3%,36.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Ballots Revealed Before HoF Election Results AnnouncedKnow of one I'm missing? Tips appreciated @NotMrTibbs or ryan@bbhoftracker.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# Votes,Ballot Link,Date Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BBWAA Chapter (best guess)(H) = Honorary",
Peter Abraham,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1B2EN9k,12/23/14,,13,13,13,13,9,9,9,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,88,23,19,15,0,9,0,7,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,Boston,
Dave Albee,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,,,1,1,,,,,1,,,,8,http://bit.ly/1FohNZ1,1/7/15,,0,0,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,65,90,23,19,15,15,9,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,SF-Oakland,
Jim Alexander,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,1,,1,,,,1,,,1,,10,http://bit.ly/1AlzftV,1/6/15,,13,13,13,13,0,9,9,7,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,84,80,23,19,0,15,0,0,7,0,5,5,3,0,3,0,0,0,0,0,0,0,0,0,0,LA-Anaheim,
Eduardo Almada,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,,1,1,,,,1,,,,7,Via email,1/4/15,,0,0,13,13,0,0,9,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,54,87,23,19,15,15,0,0,7,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Arizona,
Dave Ammenheuser,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,,1,,,,5,http://tnne.ws/1t61Vzr,12/26/14,,0,0,13,13,0,0,9,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,24,69,23,19,15,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA-Anaheim,
Mel Antonen,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,,,,,1,,1,,10,http://bit.ly/1vsXuPV,12/25/14,,0,0,13,13,9,9,9,7,0,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,94,23,19,15,15,9,0,7,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,Baltimore-DC,
Kirby Arnold,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,,1,,,1,1,,,1,10,http://bit.ly/1wSh4EX,1/6/15,,0,0,13,13,9,9,0,0,7,0,7,7,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,92,23,19,15,15,9,0,0,5,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,Seattle,
Steve Aschburner,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,1,,,1,,,,1,1,,1,,10,http://bit.ly/1wghLbZ,1/5/15,,0,0,13,13,0,0,9,7,0,7,7,7,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,88,23,19,15,15,0,0,7,0,0,0,3,3,3,3,0,0,0,0,0,1,0,0,0,Chicago,
Chris Assenheimer,,,,1,,,,,,,,,1,,,,1,,,1,1,,,,,,1,,,,,1,1,,1,,9,http://bit.ly/1AiOK5Z,1/5/15,,0,0,13,13,9,0,0,7,0,0,7,7,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,58,88,23,19,15,15,9,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1,0,Cleveland,
Chris Bahr,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,1,1,,,,10,http://bit.ly/12PzHSA,12/14/14,,0,0,13,13,9,9,9,0,7,0,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,96,23,19,15,15,9,0,7,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,Atlanta,
Bill Ballou,,,1,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,,,,,1,,,,8,http://bit.ly/1z9OaoZ,12/6/14,,13,13,13,13,9,9,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,77,77,23,19,15,0,9,0,0,0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,Boston,
Mike Bass,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,1,,1,,1,,,,1,,,,10,http://on.fb.me/1wZD7hK,12/29/14,,0,0,13,13,9,9,0,0,7,7,7,7,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,92,23,19,15,15,9,0,0,5,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,Minneapolis ,
Mike Bauman,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,7,http://atmlb.com/13UqbxC,1/5/15,,0,0,13,13,9,9,0,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,50,84,23,19,15,15,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Honorary,
Mike Berardino (!),,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,1,1,1,,,,1,,1,1,10,http://bit.ly/1zquQ3h / http://bit.ly/1ApcWkx,12/28/14,,0,0,0,0,9,9,9,7,7,7,7,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,60,0,0,15,15,9,0,7,5,0,0,0,3,3,3,0,0,2,0,0,0,0,0,0,Minneapolis ,
Rob Biertempfel,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,1,1,,,,7,http://bit.ly/1xMoqRh,1/5/15,,0,0,13,13,0,9,0,0,7,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,48,80,23,19,15,15,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Pittsburgh,
Jeff Blair,,,1,1,1,,,1,1,,,,,,,,1,,,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1Igv6Xr,1/5/15,,13,13,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,98,23,19,15,15,9,0,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,Toronto,
Barry Bloom,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,1,,,,10,http://bit.ly/1APHlr2,12/19/14,,13,13,13,13,9,9,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,96,23,19,15,15,9,0,0,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,Arizona (H),
Hal Bodley,,,,1,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,5,http://atmlb.com/13UqbxC,1/5/15,,0,0,13,13,0,0,0,0,0,0,7,7,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,18,74,23,19,15,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Philadelphia (H),
David Borges,,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,1,,,,1,,,,8,http://bit.ly/1yB7Kqf,12/10/14,,13,13,13,13,9,0,0,0,7,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,75,88,23,19,15,0,9,7,0,5,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,Boston,
Peter Botte,,,1,,,,,,,,,,,,,,1,1,1,1,,1,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1E2wLD8,12/22/14,,0,0,13,13,9,9,9,0,7,0,7,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,88,23,19,15,0,9,7,7,5,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,New York,
Marcos Breton,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,,,,,,10,http://bit.ly/1ByP0dV,1/4/15,,13,13,13,13,9,9,9,0,7,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,90,23,19,0,15,9,7,7,5,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,SF-Oakland,
Garry Brown,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,,,,,7,"http://bit.ly/1vI19Nlhttp://bit.ly/16YLeRS",12/2/14,,0,0,13,13,9,9,9,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,55,76,23,19,0,15,9,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Boston,
Howard Bryant,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,3,http://es.pn/1rU0d92,1/4/15,,0,0,13,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,-49,-14,49,23,19,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ESPN,
Steve Buckley,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/16MJmvy,12/22/14,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Boston,
Don Burke,,,1,1,,,,,,,,,,,,,1,1,1,1,1,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1wS8fuP,1/6/15,,0,0,13,13,9,9,9,0,0,0,7,7,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,98,23,19,15,15,9,7,7,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,New York (H),
Nick Cafardo,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,,,,,,1,,1,,10,http://bit.ly/1E8Pn4q,12/23/14,,13,13,13,13,9,9,0,7,0,0,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,94,23,19,15,15,9,0,0,0,5,5,0,0,3,0,2,0,0,0,0,0,0,0,0,Boston,
Pete Caldera,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,,1,,,,1,,,,10,http://bit.ly/1xM8oa3,1/5/15,,13,13,13,13,9,9,9,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,96,23,19,15,15,9,0,0,5,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,New York,
Mark Camps,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,1,,,,1,,,,1,,,,10,http://bit.ly/1B2ElZ3,12/24/14,,13,13,13,13,0,9,0,0,7,7,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,94,23,19,15,15,0,7,0,5,5,5,0,0,0,3,2,0,0,0,0,0,0,0,0,SF-Oakland,
Jim Caple,,,,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,1,,10,http://es.pn/1rU0d92,1/4/15,,13,13,13,13,9,0,9,7,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,100,23,19,15,15,9,7,7,0,5,5,0,3,3,0,0,0,0,0,0,0,0,0,0,ESPN,
Pat Caputo,,,,1,,,,,,,,,,,,,1,,,1,,1,,,1,,,1,1,,,1,1,,1,,10,http://bit.ly/1BsFJGp,1/5/15,,0,0,13,13,0,0,9,7,7,7,7,7,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,94,23,19,15,15,0,7,7,5,0,0,3,0,3,3,0,2,0,0,0,0,0,0,0,Detroit,
Sam Carchidi,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,,,1,,1,,,1,1,,,,9,10 with Rose Write-in,1/1/15,,0,0,13,13,9,9,0,0,7,0,7,7,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,68,96,23,19,15,15,9,7,0,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,Philadelphia ,
Joe Carnicelli,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,1,1,,,,,,,1,10,Facebook,12/24/14,,0,0,13,13,9,9,9,0,7,7,0,7,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,88,23,19,0,15,9,7,7,5,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,New York (H),
Ron Chimelis,,,1,1,,,,,,,,,,,,,1,1,,1,,1,,,1,,1,1,,,,,1,,,,10,http://bit.ly/1DGrocH + email,12/16/14,,0,0,13,13,9,9,9,0,0,7,7,7,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,98,23,19,15,15,9,7,7,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,Boston,
Roberto Colon,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,,,,1,,1,,,,10,http://bit.ly/1BDeEyk,1/5/15,,13,13,13,13,9,9,0,0,0,0,7,7,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,98,23,19,15,15,9,7,0,0,5,5,0,3,0,0,0,0,0,2,0,0,0,0,0,Miami,
Kevin Cooney,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,9,http://bit.ly/1AI14Jd,12/17/14,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,80,100,23,19,15,15,9,7,7,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Philadelphia ,
Brian Costello,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,1,,,,1,1,,,10,http://bit.ly/1Ab7RgV,12/26/14,,13,13,13,13,9,0,0,0,7,0,7,7,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,96,23,19,15,15,9,0,0,5,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,New York,
Greg Cote,,,1,1,1,,,1,,,,,1,,,,1,,,1,,,,,1,,,,,,1,,1,,,,10,http://bit.ly/1wjnf5O,1/6/15,,13,13,13,13,0,9,0,0,0,7,7,7,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,87,23,19,15,15,0,0,0,0,5,5,0,0,0,3,0,0,0,2,0,0,0,1,0,Miami,
Tim Cowlishaw,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1A84RDh,1/3/15,,13,13,13,13,9,9,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,100,23,19,15,15,9,7,7,0,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,Dallas,
Jerry Crasnick,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1rh7dMT,12/24/14,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Philadelphia ,
Jack Curry,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1BB2R3J,1/5/15,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,23,19,15,15,9,7,7,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,New York,
Ken Daley,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,,,,,1,,,,9,http://bit.ly/1BEtNiH,1/6/15,,0,0,13,13,9,9,9,0,0,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,77,94,23,19,15,15,9,0,7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Honorary,
