"Follow @NotMrTibbs",,,,"Public Ballots:",,,,306,,,Plus,,,4,,,,"% of Ballots Known:",,70.5%,,,,,Votes per Public Ballot:,,,,,8.23,2550,,,LEGEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Anonymous Ballots",,,,,,,Total Ballots Cast: 440,,,,,,,Votes per Non-Public Ballot:,,,,,7.28,7.276923077,,,First Time on Ballot,,"Gained Vote - Voter did not vote for player last year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private vs Public Differential,-0.3%,#REF!,-14.3%,-3.9%,0.0%,-2.0%,0.4%,-0.3%,1.8%,0.0%,-2.3%,0.0%,0.0%,2.8%,1.5%,-5.0%,0.0%,-12.5%,5.3%,-2.1%,-18.4%,-5.3%,-15.0%,-21.8%,-4.4%,8.4%,-0.2%,1.2%,-12.2%,3.7%,-1.2%,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,#REF!,80,54,0,57,1,3,4,0,127,0,0,90,2,17,0,45,32,14,39,103,77,48,11,52,9,2,42,17,19,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,#NAME?,,,,,#NAME?,,#NAME?,#NAME?,,,,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net +/- Among Returning Voters,,+12,32,14,,14,,,-1,,,,,,,11,,51,17,8,39,23,31,31,6,16,5,,38,,14,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Among First-Time Voters  (10),0.0%,81.8%,90.0%,50.0%,,50.0%,0.0%,0.0%,0.0%,,100.0%,,,50.0%,0.0%,20.0%,,50.0%,10.0%,10.0%,90.0%,80.0%,90.0%,60.0%,10.0%,0.0%,0.0%,0.0%,30.0%,30.0%,30.0%,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.twitter.com/NotMrTibbs,,
Net +/- Returning Voters Post-Results,+4,+5,,,,,,,,,,,,,,,,,,,,,+1,,+4,+6,+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% 1st-Time Voters Post-Results,50.0%,100.0%,75.0%,,,75.0%,,,,,,,,,,,,,,,,,50.0%,,100.0%,75.0%,25.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Voted Last Year, No Ballot This Year",56.0%,76.0%,,,,,,,,,,,,,,,,,,,,,36.0%,,56.0%,58.3%,36.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ballots Revealed Before HOF Election Results AnnouncedBallot tips appreciated: @NotMrTibbs or ryan@bbhoftracker.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# Votes,Ballot Link,Date Added,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tango Score (0 to 100)",,,,,,,,,,,,,,,,,,,,,,,,,BBWAA Chapter (often a best guess),,
Peter Abraham,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,,1,,,10,http://bit.ly/1lPMAGl,12/16/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,0,2,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
John Altavilla,,,,,,,,,,,1,,,1,,,,1,,,,1,1,,,1,,,,,,,6,http://cour.at/1NCmBJo,12/18/15,,0,0,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,0,0,6,0,0,0,0,75,75,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
David Ammenheuser,,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,,,,,10,http://bit.ly/1juZDLm,11/30/15,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Mel Antonen ,,,1,,,,,,,,1,,,1,,,,1,1,,1,1,1,,,1,,,1,,,,10,http://bit.ly/1NYiBGz,12/18/15,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,8,16,13,0,0,6,0,8,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,,
Kirby Arnold,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,1,,,1,,,,10,http://bit.ly/1Rb64SF,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,6,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,,
Jamie Aron,,,1,,,,,,,,1,,,,,,,,,,,1,1,1,,1,,,1,,,,7,Email,12/21/15,,0,13,0,0,0,0,0,19,0,0,0,0,0,0,0,16,13,10,0,6,0,8,0,0,85,85,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore-DC,,
Chris Assenheimer,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,3,DM,12/30/15,,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,48,48,,,,,,,,,,,,,,,,,,,,,,,,,Cleveland,,
Andrew Baggarly,,,1,1,,1,,,,,1,,,,,,,1,,,,1,1,,,,,,,,,,7,http://bit.ly/1JYaYuJ,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,0,16,13,0,0,0,0,0,0,0,85,85,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Chris Bahr,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,1,,,1,,,,10,http://bit.ly/1PBJNgj,12/3/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,6,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta,,
Bill Ballou,,,1,1,,1,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,6,http://bit.ly/1SUoN2y,11/16/15,,0,13,8,8,0,0,0,19,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,66,66,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Peter Barzilai,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,,,10,Email,12/19/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Mike Bass,,,1,,,,,,,,1,,,1,,1,,1,,,1,1,,1,,,,,,,,,8,http://on.fb.me/1mz8ePd,12/22/15,,0,13,0,0,0,0,0,19,13,0,3,8,0,0,8,16,0,10,0,0,0,0,0,0,90,90,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis,,
Mike Bauman,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,1,,,,,,,5,http://atmlb.com/1kGljoj,1/4/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,0,16,0,0,0,6,0,0,0,0,67,67,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Amalie Benjamin,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,1,1,,,10,http://bit.ly/1RhbUAI,11/30/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,8,2,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Mike Berardino,,,1,,,,,,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,1,,9,http://bit.ly/1Ur9i2e,1/4/16,,0,13,0,0,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis,,
Rob Biertempfel,,,1,,,,,,,,1,,,1,,,,,,,,1,,1,,1,,,1,,,,7,http://bit.ly/1TNIJEy,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,0,16,0,10,0,6,0,8,0,0,85,85,,,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh,,
Barry Bloom,,,1,1,,1,,,,,1,,,1,,,,,,,1,1,1,,,1,,,1,,,,10,http://bit.ly/1MRVs3Q,11/16/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,8,16,13,0,0,6,0,8,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Arizona,,
Earl Bloom,1,,1,,,,,1,,,1,,,1,,,,1,,1,,1,1,,,1,,,,,,,10,Direct Message,11/16/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,2,0,16,13,0,0,6,0,0,0,0,90,90,,,,,,,,,,,,,,,,,,,,,,,,,LA-Anaheim,,
Hal Bodley,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,3,http://atmlb.com/1kGljoj,1/4/16,,0,0,0,0,0,0,0,19,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,39,39,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,,
Filip Bondy ,,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,,,,1,1,,,,,,10,Email,11/25/15,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,8,16,0,0,0,6,1,0,0,0,93,93,,,,,,,,,,,,,,,,,,,,,,,,,New York ,,
Scott Bordow,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,1,,,,9,http://usat.ly/1PdpqRi,1/5/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Arizona,,
David Borges,,,,1,,1,,,,,1,,,,,,,,,1,,1,,1,,,1,,,,,,7,http://bit.ly/1QnzkFI,12/15/15,,0,0,8,8,0,0,0,19,0,0,0,0,0,2,0,16,0,10,0,0,1,0,0,0,64,64,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Peter Botte,,,1,,,,,,,,1,,,,,1,,1,1,,,1,1,1,,,,,,,,,8,http://bit.ly/1IZyhsQ,12/18/15,,0,13,0,0,0,0,0,19,0,0,3,8,4,0,0,16,13,10,0,0,0,0,0,0,86,86,,,,,,,,,,,,,,,,,,,,,,,,,New York ,,
Marcos Breton,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,,,10,http://bit.ly/1mDnHO3,1/5/16,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Larry Brooks ,,,1,1,,1,,,,,1,,,,,,,,,1,1,1,1,1,,,,,,,,,9,http://bit.ly/1Yr54sI,12/18/15,,0,13,8,8,0,0,0,19,0,0,0,0,0,2,8,16,13,10,0,0,0,0,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,New York ,,
Garry Brown,,,1,,,,,,,,1,,,1,,,,1,,,,1,1,1,,,,,,,,,7,Email,12/1/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,0,0,0,0,0,92,92,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Howard Bryant,,,,,,,,,,,1,,,,,,,,1,,1,,1,,,,,,,,,,4,http://bit.ly/1mges6a,12/22/15,,0,0,0,0,0,0,0,19,0,0,0,0,4,0,8,0,13,0,0,0,0,0,0,0,44,44,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Steve Buckley,,,1,,,,,,,,1,,,,,1,,1,1,,1,1,1,1,,,,,1,,,,10,http://bit.ly/1OoE7GE,12/23/15,,0,13,0,0,0,0,0,19,0,0,3,8,4,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Don Burke,,,1,,,,,,,,1,,,1,,1,,1,,,,1,1,,,,,,,,,,7,http://bit.ly/1k8XVj6,12/19/15,,0,13,0,0,0,0,0,19,13,0,3,8,0,0,0,16,13,0,0,0,0,0,0,0,85,85,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Nick Cafardo,,,1,1,,1,,,,,1,,,1,,1,,,,,1,1,,1,1,,,,,,,,10,http://bit.ly/1VkEbqe,12/26/15,,0,13,8,8,0,0,0,19,13,0,3,0,0,0,8,16,0,10,2,0,0,0,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Pete Caldera,,,1,1,,1,,,,,1,,,,,1,,,,,,1,,1,1,,,,,,,,8,http://bit.ly/1OImlfF,1/6/16,,0,13,8,8,0,0,0,19,0,0,3,0,0,0,0,16,0,10,2,0,0,0,0,0,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Call,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,,,,,8,Email,11/25/15,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Dave Campbell,,,1,1,,1,,,,,1,,,1,,,,,,,1,1,,,,1,,,1,,1,,10,Email,12/22/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,0,8,16,0,0,0,6,0,8,0,3,93,93,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis,,
John Canzano (did not vote 2015),,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,,,1,,,1,,,,10,http://bit.ly/1QBvF74,12/19/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,0,0,6,0,8,0,0,93,93,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Jim Caple,,,1,1,,1,,,,,1,,,,,,,1,1,,,1,1,1,,,,,1,,,,10,http://es.pn/1OMHFmi,1/6/16,,0,13,8,8,0,0,0,19,0,0,0,8,4,0,0,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,ESPN,,
Pat Caputo,,,1,,,,,,,,1,,,1,,1,,,,1,1,1,1,1,,,,,1,,,,10,http://bit.ly/1NxECfa,12/5/15,,0,13,0,0,0,0,0,19,13,0,3,0,0,2,8,16,13,10,0,0,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Detroit,,
Sam Carchidi (wrote in Pete Rose),,,1,,,,,,,,1,,,1,,,,,1,,,1,1,1,,1,,,,,,,8,http://bit.ly/1HSXdCb,12/8/15,,0,13,0,0,0,0,0,19,13,0,0,0,4,0,0,16,13,10,0,6,0,0,0,0,94,94,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,,
Bill Center,,,1,1,,1,,,,,1,,,1,,,,1,1,,,1,1,,,,,,1,,,,10,http://bit.ly/1PGKALg,11/13/15,,0,13,8,8,0,0,0,19,13,0,0,8,4,0,0,16,13,0,0,0,0,8,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,San Diego,,
Murray Chass (did not vote last yr),,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,http://bit.ly/1kBJT9Z,1/2/16,,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Ron Chimelis,,,1,,,,,,,,1,,,1,,1,,1,1,,1,1,1,1,,,,,,,,,10,http://bit.ly/1QXIOYp,12/29/15,,0,13,0,0,0,0,0,19,13,0,3,8,4,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Kevin Cooney,,,1,,,,,,,,1,,,1,,,,,1,,1,1,1,1,,1,,,,1,,,10,http://bit.ly/1MsfNx8,11/13/15,,0,13,0,0,0,0,0,19,13,0,0,0,4,0,8,16,13,10,0,6,0,0,2,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,,
Brian Costello,,,1,1,,1,,,,,1,,,1,,,,,,1,,1,,1,1,,1,,,,,,10,http://bit.ly/1mkc9zr,12/14/15,,0,13,8,8,0,0,0,19,13,0,0,0,0,2,0,16,0,10,2,0,1,0,0,0,89,89,,,,,,,,,,,,,,,,,,,,,,,,,New York ,,
Tim Cowlishaw,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,,,1,,10,http://bit.ly/1NMNPQN,12/12/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,0,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Dallas,,
Jerry Crasnick,,,1,1,,1,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,,,,,10,http://es.pn/1QKlhKF,12/24/15,,0,13,8,8,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia,,
Glen Crevier (did not vote last yr),,,1,,,,,,,,1,,,1,,,,1,,,,1,1,1,,1,,,1,,,,9,http://bit.ly/1K5m4y9,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,0,16,13,10,0,6,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis,,
Jack Curry,,,1,,,,,,,,1,,,,,1,,1,,,1,1,1,1,,,,,1,,1,,10,http://bit.ly/1mw5nGW,12/21/15,,0,13,0,0,0,0,0,19,0,0,3,8,0,0,8,16,13,10,0,0,0,8,0,3,95,95,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Tom D'Angelo,,,1,,,,,,,,1,,,1,,,,,,,1,1,1,1,,,,,1,,,,8,DM,12/11/15,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,8,16,13,10,0,0,0,8,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Miami,,
Paul Daugherty,,,1,,,,,,,,1,,,1,,,,,,,1,1,1,,,,,,,,,,6,http://cin.ci/1SkOg6U,12/29/15,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,8,16,13,0,0,0,0,0,0,0,82,82,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,,
Shi Davidi,,,,1,,1,,,,,1,,,1,,1,,,,,1,,1,1,,,,,1,,1,,10,http://bit.ly/1Z48Zfh,1/5/16,,0,0,8,8,0,0,0,19,13,0,3,0,0,0,8,0,13,10,0,0,0,8,0,3,87,87,,,,,,,,,,,,,,,,,,,,,,,,,Toronto,,
Ken Davidoff,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,,1,,,,,1,,1,,10,http://nyp.st/1MQ3xFK,1/4/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,0,10,0,0,0,8,0,3,90,90,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Art Davidson,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,4,http://bit.ly/1leW1yN,12/4/15,,0,13,0,0,0,0,0,19,13,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,61,61,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
John Delcos,,,1,,,,,,,,1,,,1,,,,1,1,,1,1,1,,,1,,,,,,,9,http://bit.ly/1kzCyrq,1/1/16,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,8,16,13,0,0,6,0,0,0,0,96,96,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Chris De Luca,,,,1,,1,,,,,1,,,1,,,,,,,,1,1,,,,1,,,,,,7,http://bit.ly/1IRdrvQ,12/14/15,,0,0,8,8,0,0,0,19,13,0,0,0,0,0,0,16,13,0,0,0,1,0,0,0,78,78,,,,,,,,,,,,,,,,,,,,,,,,,Chicago,,
Tom Dienhart,,,1,1,,1,,,,,1,,,,,,,,,,1,1,1,1,,1,,,1,,,,10,Email,12/13/15,,0,13,8,8,0,0,0,19,0,0,0,0,0,0,8,16,13,10,0,6,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Mike Downey,,,,1,,1,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,5,DM,1/6/16,,0,0,8,8,0,0,0,19,0,0,0,0,0,0,0,0,13,0,0,0,0,8,0,0,56,56,,,,,,,,,,,,,,,,,,,,,,,,,Honorary,,
Paul Doyle,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,,,10,http://bit.ly/1SY2Xej,12/14/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,Boston,,
Josh Dubow,,,1,1,,1,,,,,1,,,,,,,1,,,1,1,1,1,,,,,1,,,,10,http://bit.ly/1Sl3eK6,12/29/15,,0,13,8,8,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,8,0,0,95,95,,,,,,,,,,,,,,,,,,,,,,,,,SF-Oakland,,
Jay Dunn,,,1,,,,,,1,,1,,,1,,,,1,1,,,1,1,1,,1,,,,,,,10,http://bit.ly/1O4WyKh,12/2/15,,0,13,0,0,0,0,0,19,13,0,0,8,4,0,0,16,13,10,0,6,0,0,0,0,98,98,,,,,,,,,,,,,,,,,,,,,,,,,New York,,
Chris Elsberry,,,1,,,1,,,,,1,,,1,,,,,1,,1,1,1,1,,1,,,,,,,10,DM,12/29/15,,0,13,0,8,0,0,0,19,13,0,0,0,4,0,8,16,13,10,0,6,0,0,0,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Faller,,,1,,,,,,,,1,,,,,,,1,,,1,1,1,1,,,,,,,,,7,http://bit.ly/1Qyafbc,12/19/15,,0,13,0,0,0,0,0,19,0,0,0,8,0,0,8,16,13,10,0,0,0,0,0,0,87,87,,,,,,,,,,,,,,,,,,,,,,,,,Arizona,,
John Fay,,,1,,,,,,,,1,,,1,,,,1,,,1,1,1,1,,,,,1,,1,,10,http://bit.ly/1UH8zu8,1/6/16,,0,13,0,0,0,0,0,19,13,0,0,8,0,0,8,16,13,10,0,0,0,8,0,3,100,100,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati,,
